Trip ID,Taxi ID,Trip Start Timestamp,Trip End Timestamp,Trip Seconds,Trip Miles,Pickup Census Tract,Dropoff Census Tract,Pickup Community Area,Dropoff Community Area,Fare,Tips,Tolls,Extras,Trip Total,Payment Type,Company,Pickup Centroid Latitude,Pickup Centroid Longitude,Pickup Centroid Location,Dropoff Centroid Latitude,Dropoff Centroid Longitude,Dropoff Centroid  Location
6e6afbca376e4c4e865a07704cc8df17ae5bbe94,4c8741fac63baa5f25f60596ae1905fb56201a21068bea59a1ba8bf484ca6707dd66b56e8b8294f2e726f0a11e9c8489595efbe068429f0af97b9ed399cf63e0,12/01/2020 12:00:00 AM,12/01/2020 12:30:00 AM,1200,27.4,,,76,24,40.25,9.05,0.00,5.00,54.30,Credit Card,Star North Management LLC,41.980264315,-87.913624596,POINT (-87.913624596 41.9802643146),41.901206994,-87.676355989,POINT (-87.6763559892 41.9012069941)
ac1700103ab51a45a4364c7db409e8d81af65ab8,b77a2dcc078698ea493d4d703014076e4272dc7d8b420e0517a7ad98d347f212120e0bcc215c8e84df2c589171b9590d4aa3352d21e519a35afad2ed1b42841b,12/01/2020 12:00:00 AM,12/01/2020 12:30:00 AM,1200,17.3,,,76,28,42.25,9.30,0.00,4.00,55.55,Credit Card,Taxi Affiliation Services,41.980264315,-87.913624596,POINT (-87.913624596 41.9802643146),41.874005383,-87.66351755,POINT (-87.6635175498 41.874005383)
b7573f187cffc609564dcebd9c6790f9db6d4e70,46cb4badd64238b521d799f0aeb48c0214ebcac417ea257c3dabdf3b6105dbd59cdb5be586668b99664d475ff7bc8db97fba083ab39c1a7bd35a2414e5e236b1,12/01/2020 12:00:00 AM,12/01/2020 12:30:00 AM,1380,22.2,,,76,38,53.00,0.00,0.00,4.00,57.00,Cash,Taxi Affiliation Services,41.980264315,-87.913624596,POINT (-87.913624596 41.9802643146),41.812948939,-87.617859676,POINT (-87.6178596758 41.8129489392)
bc02c8d63cecf6ae5a910b0a2b08d43727729ed6,6bc9a4b2f488c8531e48dd2a8c10459515b486fc16d78ae70a6244b99096d2658cf51cf9dd981a8aa05f3d7e6fa46809dbf53e80125333a9d4d336701f4a63e6,12/01/2020 12:00:00 AM,12/01/2020 12:15:00 AM,84,0.21,,,14,5,3.75,0.00,0.00,0.00,3.75,Cash,Flash Cab,41.968069,-87.721559063,POINT (-87.7215590627 41.968069),41.947791586,-87.683834942,POINT (-87.6838349425 41.9477915865)
e5f4b468e1185148a6084efdbd285b4deb5d2ffa,26a53f41b40ca4ec225a15ff55054c0a2d9e4a48341ce95682596f2545c380d83287eaf73f920a605cf5993f70436c69808adfc634e475da3ae8a73895f6a4c1,12/01/2020 12:00:00 AM,12/01/2020 01:00:00 AM,3600,0,17031980000,,76,,121.50,39.20,0.00,74.00,234.70,Credit Card,Taxi Affiliation Services,41.97907082,-87.903039661,POINT (-87.9030396611 41.9790708201),,,
e87b538cafd533d2df86f8549d501c4dd42fc8c0,222a0a55fe5180e292a8e128804e081fa50b05a0329775f9344b50ee230f23d12635ee6a2429af764d01221057af04260089849cfb0192fa29bfda38362ffad6,12/01/2020 12:00:00 AM,12/01/2020 12:15:00 AM,667,8.73,,,68,8,23.00,0.00,0.00,0.00,23.00,Cash,Flash Cab,41.777196255,-87.642497527,POINT (-87.6424975271 41.7771962546),41.899602111,-87.633308037,POINT (-87.6333080367 41.899602111)
e084209338a4d63fe60430b727bb72012ecd5ffd,9cee83fd2c2b50ff5b5a20565a6721c03d0f3f520fa8e2b91b6613bd3e7eca4f22c420a5799397ed68c61cb64696a5bb143dcb232e783c103241927e6b63b6d0,12/01/2020 12:00:00 AM,12/01/2020 12:15:00 AM,360,2.2,,,76,,8.75,2.65,0.00,4.00,15.90,Credit Card,Medallion Leasin,41.980264315,-87.913624596,POINT (-87.913624596 41.9802643146),,,
9366cf775094bd2938dec8aec9f28a2781a9790c,26a53f41b40ca4ec225a15ff55054c0a2d9e4a48341ce95682596f2545c380d83287eaf73f920a605cf5993f70436c69808adfc634e475da3ae8a73895f6a4c1,12/01/2020 12:00:00 AM,12/01/2020 01:00:00 AM,3600,0,,,76,,121.50,39.20,0.00,74.00,234.70,Credit Card,Taxi Affiliation Services,41.980264315,-87.913624596,POINT (-87.913624596 41.9802643146),,,
1173a515327271b210e49002daf4b1ffaff31551,31261f6e7fc645eff98c7964c7ea71a0ea7e387a6bd7f87485b201ee0c89f03b07008cf93ed2bd22fde33cd79a47b4d1549a23a10138ebe943ed1b2283fc4c45,12/01/2020 12:15:00 AM,12/01/2020 12:30:00 AM,780,2.9,,,28,8,11.50,3.00,0.00,0.00,14.50,Credit Card,Taxi Affiliation Services,41.874005383,-87.66351755,POINT (-87.6635175498 41.874005383),41.899602111,-87.633308037,POINT (-87.6333080367 41.899602111)
1f0fc815b623b15c7d8e2d6d77e3dff99c5d2ea2,4864601f96d54f4cf49dbf644d3ed67f3d7298f0dec20b44e78856ef064208a70977d6706cdd904a2b5b4b8bbffeaa46eb489067260e1cabea91a0663002c812,12/01/2020 12:15:00 AM,12/01/2020 12:15:00 AM,38,0,,,76,76,3.25,0.00,0.00,0.00,3.25,Cash,Chicago Taxicab,41.980264315,-87.913624596,POINT (-87.913624596 41.9802643146),41.980264315,-87.913624596,POINT (-87.913624596 41.9802643146)
1e2d127f1fb247a93c94b01fc652ece236d41e91,342474dd3a24c9d5b7dbc2514032a01ecb396624638be510614948e1bfbcaff802b12a713e58742d8597899edbcf1c4926ae2238b9612b4f8c10faad33621650,12/01/2020 12:15:00 AM,12/01/2020 12:30:00 AM,900,4.4,,,14,20,15.00,0.00,0.00,0.00,15.00,Cash,Taxi Affiliation Services,41.968069,-87.721559063,POINT (-87.7215590627 41.968069),41.924347077,-87.734739754,POINT (-87.7347397536 41.9243470769)
70694c4608b353428ffe79776b4312df883c3bfb,1e8124bfa9d4f7d724c8b3b8f363b18d7557271ac69bbeee5400e8da72cdad33611fc7c78b2c76155e0b711e8f9c98615a9587a693a9aaeb4525f7b961b91544,12/01/2020 12:15:00 AM,12/01/2020 12:15:00 AM,55,0,,,2,2,3.25,0.00,0.00,0.00,3.25,Cash,Flash Cab,42.001571027,-87.695012589,POINT (-87.6950125892 42.001571027),42.001571027,-87.695012589,POINT (-87.6950125892 42.001571027)
6d3c5198349b099f7c714236ac3bc56ff3d5a70f,3618045f9110d4d88482266ade23659c1a50d32ac37f205c15614b1ada9d4ca14b171329afed5dfd81c7525bd5a05fe614cb63b2aa48d920626b519e20d9e146,12/01/2020 12:15:00 AM,12/01/2020 12:30:00 AM,1200,8.1,,,22,31,24.00,0.00,0.00,0.00,24.00,Cash,Taxi Affiliation Services,41.92276062,-87.699155343,POINT (-87.6991553432 41.9227606205),41.850266366,-87.667569312,POINT (-87.667569312 41.8502663663)
bcad0fc15cf651a0d2b7f7ad0f64b0a03873faf4,bb37f5cb2ce1b4315137de43b61270f3178144901a66453e444cdb03ea0ec4022db9f8d09cd613e476a4b105146477694313ca46616e5d7bbf1329fa6ae9c077,12/01/2020 12:15:00 AM,12/01/2020 12:15:00 AM,60,0.1,,,8,,3.50,0.00,0.00,0.00,3.50,Cash,Medallion Leasin,41.899602111,-87.633308037,POINT (-87.6333080367 41.899602111),,,
b7c77d52d1de6ca0adfd291181e57d2f170923ae,2780ead18beaa862cc67315ddabd9d1acaadcd6da82eba38b064d7d6f4acc260b68ef1ae3ce06dad845178107940b3493fa99640f0f70c25d15cf57336ab7b8f,12/01/2020 12:15:00 AM,12/01/2020 12:30:00 AM,518,1.59,,,3,3,7.75,0.00,0.00,0.00,7.75,Cash,Flash Cab,41.96581197,-87.655878786,POINT (-87.6558787862 41.96581197),41.96581197,-87.655878786,POINT (-87.6558787862 41.96581197)
bb23b61928cbb7d30ad65199eca13537fdf59666,b259515344f28837cc7546ff185da59066c4aa0c2ad49091d66f4441b51ab31d3b7b596e748fba661dd8c13a07fc719307f120ed17327a783387ca72ea68ecf9,12/01/2020 12:15:00 AM,12/01/2020 12:45:00 AM,1681,7.75,,,3,10,22.50,2.00,0.00,0.00,25.00,Credit Card,Flash Cab,41.96581197,-87.655878786,POINT (-87.6558787862 41.96581197),41.985015101,-87.804532006,POINT (-87.8045320063 41.9850151008)
c9f9ec1d3340e511da51ffb644a7049876a444b2,f5d5f5caa931f68cbc6bc434ebe16a90a7fe4a6a248f026e931b9b696a4d7969ed08b736f4a9e66171e65194bb85b96b0c413a1b8bd6ddee349a7a908fac691a,12/01/2020 12:15:00 AM,12/01/2020 12:30:00 AM,1380,14.1,,,76,6,36.25,8.15,0.00,4.00,48.40,Credit Card,312 Medallion Management Corp,41.980264315,-87.913624596,POINT (-87.913624596 41.9802643146),41.944226601,-87.655998182,POINT (-87.6559981815 41.9442266014)
24b46781555935c9da999a9f9be43ac904137d71,1d8661cf286a18a5105e132056c2aadf0b81a551e440fe24a277bd7788b745781717403d591c77238dee781850e9d9ca17c5afb07b61cf15569d98ff41caf179,12/01/2020 12:30:00 AM,12/01/2020 01:00:00 AM,1963,23.04,,,,,56.75,0.00,0.00,4.50,61.25,Cash,Globe Taxi,,,,,,
219aa63ddf0f489a1df8437e3ce6d487ff4cfbce,1e8124bfa9d4f7d724c8b3b8f363b18d7557271ac69bbeee5400e8da72cdad33611fc7c78b2c76155e0b711e8f9c98615a9587a693a9aaeb4525f7b961b91544,12/01/2020 12:30:00 AM,12/01/2020 12:30:00 AM,50,0.1,,,77,3,3.25,0.00,0.00,0.00,3.25,Cash,Flash Cab,41.9867118,-87.663416405,POINT (-87.6634164054 41.9867117999),41.96581197,-87.655878786,POINT (-87.6558787862 41.96581197)
162a8323871cb56000026ad9b20904def98c3fae,0bd1d932b3086e8afc5ffa6372c26866d85ff1abaa15db1dd352e16e913393bf5cab10ad485345eb4eb850db3d1a867da39c4e26086f6b7b5f731f93e14a454c,12/01/2020 12:30:00 AM,12/01/2020 12:45:00 AM,1020,11.4,,,76,16,29.25,0.00,0.00,6.00,35.25,Cash,"Taxicab Insurance Agency, LLC",41.980264315,-87.913624596,POINT (-87.913624596 41.9802643146),41.953582125,-87.72345239,POINT (-87.7234523905 41.9535821253)
215a1156e358b1bb0386769f6cff2cb3ad77ad1c,2d33a620da6f3f6ea6e1a2aa7f2fbd14ba0fd82bd38d9a7110322725a7fe01e53b7521c72a08424a668558b8011380e01f9f096789bf6355c2bef84de5a6c888,12/01/2020 12:30:00 AM,12/01/2020 01:00:00 AM,1620,1.1,,,28,76,46.25,0.00,0.00,0.00,46.25,Cash,Taxi Affiliation Services,41.874005383,-87.66351755,POINT (-87.6635175498 41.874005383),41.980264315,-87.913624596,POINT (-87.913624596 41.9802643146)
24d9ed2f11b32ece060247631b08313325499cf1,c8f57a1150c210a9e6b3fcfb24c3d6d0a43d1879b4b9795d12ffb5917f2b77c86a098c8f0a7c2a301ef4ea972985d4e05bd8d52a2f7a1ecca253fb8e81e5755e,12/01/2020 12:30:00 AM,12/01/2020 12:30:00 AM,660,0.2,,,19,14,12.00,0.00,0.00,0.00,12.00,Cash,Taxi Affiliation Services,41.927260956,-87.765501609,POINT (-87.7655016086 41.9272609555),41.968069,-87.721559063,POINT (-87.7215590627 41.968069)
3d086a67cb6b03d142f9ce6dcb51afb43325edf5,42574f4a000f78c9ccbf2cfc282f31617096a9fea4a0d58dad337de31ecbad3a0c484e1d6912e31ab083f741aa522b743a23a95033eab5f3d68ed4bc63926768,12/01/2020 12:30:00 AM,12/01/2020 12:45:00 AM,840,0.5,,,76,18,22.25,0.00,0.00,4.00,26.25,Cash,Taxi Affiliation Services,41.980264315,-87.913624596,POINT (-87.913624596 41.9802643146),41.929297368,-87.798032181,POINT (-87.7980321814 41.9292973683)
38b22925339e5371c692bcead15f3236ee454ce4,593439112392e1b60a3f0e6b60dd013222a7ebd7696de86645097b9e1808f9c990d5d6eddecc94f7e8040dafafd40fc4195cbc9d1a862da0143659400dff41f8,12/01/2020 12:30:00 AM,12/01/2020 01:00:00 AM,1620,10,,,56,75,27.50,3.00,0.00,4.00,34.50,Credit Card,Taxi Affiliation Services,41.79259236,-87.769615453,POINT (-87.7696154528 41.7925923603),41.689729914,-87.669054403,POINT (-87.6690544032 41.6897299145)
49a8704e837782f15acf949516eb64648401c1fd,b76dee6fdaaed9340ff0dcd8a02ab3dcd44485b0c729347e751389e0b5d5155855819505c3b3d396b2d12730143259d223fa3e96dc49f19a17e1d6fa9759fa09,12/01/2020 12:30:00 AM,12/01/2020 12:45:00 AM,420,1.4,,,8,32,7.25,0.00,0.00,0.00,7.25,Cash,Taxi Affiliation Services,41.899602111,-87.633308037,POINT (-87.6333080367 41.899602111),41.878865584,-87.625192142,POINT (-87.6251921424 41.8788655841)
4ae3ff03579ffa61c547dd84d8c98eca878ea29b,3f68542d52a06c2f726a08b3888acb6e7979a3ade1b74c38c2d8d3932377185103d527e0a018b407d71e80217caa2a9335c74cc0dabf9f13141cf5875ef051b0,12/01/2020 12:30:00 AM,12/01/2020 12:30:00 AM,540,4.2,,,38,28,12.75,0.00,0.00,0.00,12.75,Cash,Taxi Affiliation Services,41.812948939,-87.617859676,POINT (-87.6178596758 41.8129489392),41.874005383,-87.66351755,POINT (-87.6635175498 41.874005383)
8532615a7ac216c4be2f75254213d7f70758bf9c,2a90cc6d8166736176301e0d4b188d6f98eb04a4d69fc83a4ba2d7a7609bb7a43f66fd83cd2ae665a78675f77edc733b899d315c0be4cf9b23daa3ca49eab722,12/01/2020 12:30:00 AM,12/01/2020 01:15:00 AM,2099,4.79,,,8,8,21.25,0.00,0.00,0.00,21.25,Cash,Sun Taxi,41.899602111,-87.633308037,POINT (-87.6333080367 41.899602111),41.899602111,-87.633308037,POINT (-87.6333080367 41.899602111)
9c52d8f02a6baf9e4850505e8d2cbbaf89b51ac5,1d72db3a18692cc5b5e4ea41bb1de0e45d4149b495dbd0b1edce16aebce4deb1e2d3ab794f54614c87737856b73830b7c6f52c16828cb5181c58b988c5305544,12/01/2020 12:30:00 AM,12/01/2020 12:45:00 AM,1198,9.08,,,76,14,23.75,0.00,0.00,4.00,27.75,Cash,Flash Cab,41.980264315,-87.913624596,POINT (-87.913624596 41.9802643146),41.968069,-87.721559063,POINT (-87.7215590627 41.968069)
ac1f758d8498b01b07c760c1abbca50de205731b,6551ba527f916e0b8187165d7e61705fc2641c9b3afd699f8bcf626970b1b9a9716a4602a084a254d9bcce8912eae21472ce82742c2479742528dfe7328309c7,12/01/2020 12:30:00 AM,12/01/2020 12:45:00 AM,1046,13.56,,,12,33,34.00,0.00,0.00,0.00,34.00,Prcard,Flash Cab,41.993930128,-87.758353588,POINT (-87.7583535876 41.9939301285),41.857183858,-87.620334624,POINT (-87.6203346241 41.8571838585)
b4f004f73dbf02476a0310aa4a2e03f622f524e9,4b1a94338d7d6c05ef493dd049ea1c54fba2accc57eb58ff9759ca55518a57a9d472b708b383383d68b0932166562f3fdbea741eae2201eb2eb89b595ee83817,12/01/2020 12:30:00 AM,12/01/2020 12:45:00 AM,1140,0,,,,,27.25,0.00,0.00,5.50,32.75,Cash,Star North Management LLC,,,,,,
d89c2f16d1ffc9241d865696a4fa7d0f76718b15,2130bc5fd239a4e3b304662424fb4cc7db0ca7abf78cc548f0ca8a6cee8fc3cb2e029cbd0db9a48b47c50cbb864ec1b70fd438dde4b789123292c8f4cbcf166f,12/01/2020 12:30:00 AM,12/01/2020 01:00:00 AM,1260,17.8,,,76,,42.50,0.00,0.00,27.00,69.50,Cash,Taxi Affiliation Services,41.980264315,-87.913624596,POINT (-87.913624596 41.9802643146),,,
ecf2c9385f5f43337d26ba6d56c1caf6e6b36335,3f365e125eb1d15aae0ae8a4bf53a01191478f26ccf00c877528ac2dcecf8cea91c1ee67aa49721351839fbc0a8fd976abc65438225bd6a39e6ef2e905977225,12/01/2020 12:30:00 AM,12/01/2020 12:45:00 AM,602,3.45,,,2,13,11.50,0.00,0.00,0.00,11.50,Cash,Flash Cab,42.001571027,-87.695012589,POINT (-87.6950125892 42.001571027),41.983636307,-87.723583185,POINT (-87.7235831853 41.9836363072)
f3999994c5145394eeb9c99be7ed164b7fe5b620,e9fc2f81145c244007f76cdcb5aeb4df32d68cd4c23c164da765d98e48b176118b02a76380a44524d3f16cf675e5cd49ea530f340597f4430a942cbf6a7e3ab0,12/01/2020 12:30:00 AM,12/01/2020 12:30:00 AM,540,0,,,28,32,7.75,2.00,0.00,1.00,10.75,Credit Card,Taxi Affiliation Services,41.874005383,-87.66351755,POINT (-87.6635175498 41.874005383),41.878865584,-87.625192142,POINT (-87.6251921424 41.8788655841)
0987938f9a738307d99d78b56c81c8ced2ac4ea3,4864601f96d54f4cf49dbf644d3ed67f3d7298f0dec20b44e78856ef064208a70977d6706cdd904a2b5b4b8bbffeaa46eb489067260e1cabea91a0663002c812,12/01/2020 12:45:00 AM,12/01/2020 01:15:00 AM,1652,20.2,,,76,31,49.50,8.10,0.00,4.00,62.10,Credit Card,Chicago Taxicab,41.980264315,-87.913624596,POINT (-87.913624596 41.9802643146),41.850266366,-87.667569312,POINT (-87.667569312 41.8502663663)
2894e5582151fc6d2b275566f9540e189edf3da3,4f78222d267c08ee7267810e5f3f2241dc61bf1396d036c6189ff55bcaae7cdfa05b4acffb30de62a7062274c8eb0d56ae93a1abf01e9d19abcbb7ede28380f1,12/01/2020 12:45:00 AM,12/01/2020 12:45:00 AM,0,0,,,6,,3.25,0.00,0.00,0.00,3.25,Cash,"Taxicab Insurance Agency, LLC",41.944226601,-87.655998182,POINT (-87.6559981815 41.9442266014),,,
216d7a3dbb1fe9a0b999ca6a37840f66c9c9e9ff,48b43342788ae1b9b57a4e36cf85b8555d0cae1ec42ce293a86ce86fca826c5a2293d3e5f78f65401ee9a5440a7363a59f6de11e596bc55591e5be766e0bfc80,12/01/2020 12:45:00 AM,12/01/2020 01:00:00 AM,1080,16.7,,,76,24,40.75,5.00,0.00,4.00,49.75,Credit Card,Taxi Affiliation Services,41.980264315,-87.913624596,POINT (-87.913624596 41.9802643146),41.901206994,-87.676355989,POINT (-87.6763559892 41.9012069941)
36aafab10e60ddc9fac0e8494f22a2e2b6ea82d8,342474dd3a24c9d5b7dbc2514032a01ecb396624638be510614948e1bfbcaff802b12a713e58742d8597899edbcf1c4926ae2238b9612b4f8c10faad33621650,12/01/2020 12:45:00 AM,12/01/2020 01:00:00 AM,1020,5.3,,,11,25,16.25,0.00,0.00,0.00,16.25,Credit Card,Taxi Affiliation Services,41.978829526,-87.771166703,POINT (-87.771166703 41.9788295262),41.890608853,-87.756046711,POINT (-87.7560467111 41.8906088526)
4e5c42675949241609aca7eae1fea92ee96303d8,19b26197fb003ce35ea893cf24d70ff551298f2bacea84de0a9d9eb288e0478380cabd3a8d9eaf33c08375dfe015c724804f0c27d8ff9d8d09a033959345783d,12/01/2020 12:45:00 AM,12/01/2020 01:30:00 AM,2101,19.2,,,76,25,48.25,0.00,0.00,4.00,52.25,Cash,Medallion Leasin,41.980264315,-87.913624596,POINT (-87.913624596 41.9802643146),41.890608853,-87.756046711,POINT (-87.7560467111 41.8906088526)
55c44efbecc930f4f868c0e2d75a476f781990e7,ca2e49fc5f32316d5c59cabe4993d8f7b27ee126bc505836ae638a3a60ddf28a06fd497610cc6647831d8104f0574bcd8cea05fa5a8bd124061bfee79df6c1f2,12/01/2020 12:45:00 AM,12/01/2020 12:45:00 AM,480,3.1,,,28,33,10.50,0.00,0.00,0.00,10.50,Cash,Taxi Affiliation Services,41.874005383,-87.66351755,POINT (-87.6635175498 41.874005383),41.857183858,-87.620334624,POINT (-87.6203346241 41.8571838585)
8cae09f3c5d67e8940d3105f30c839317351bec2,c8f57a1150c210a9e6b3fcfb24c3d6d0a43d1879b4b9795d12ffb5917f2b77c86a098c8f0a7c2a301ef4ea972985d4e05bd8d52a2f7a1ecca253fb8e81e5755e,12/01/2020 12:45:00 AM,12/01/2020 01:00:00 AM,1020,0.3,,,2,11,17.75,0.00,0.00,0.00,17.75,Cash,Taxi Affiliation Services,42.001571027,-87.695012589,POINT (-87.6950125892 42.001571027),41.978829526,-87.771166703,POINT (-87.771166703 41.9788295262)
c34dfde900355fe658df3f5681d2dae2d3aef4d9,20748c08a2cc5aef4b6f0f88f0e78db32cac1a858f7e098bf151d6a28d4f3370bec588fd2611d6fc9c9c32aaffb524626fa695e96c02a666e7b5729747c9e3ec,12/01/2020 12:45:00 AM,12/01/2020 01:15:00 AM,1920,27.9,,,76,46,66.25,0.00,0.00,4.00,70.25,Credit Card,Star North Management LLC,41.980264315,-87.913624596,POINT (-87.913624596 41.9802643146),41.741242728,-87.551428197,POINT (-87.551428197 41.7412427285)
